trace,variant,stack_distance_min,stack_distance_q1,stack_distance_q2,stack_distance_q3,stack_distance_max,stack_distance_skewness,ws_0_1pct_min,ws_0_1pct_q1,ws_0_1pct_q2,ws_0_1pct_q3,ws_0_1pct_max,ws_0_1pct_skewness,ws_1pct_min,ws_1pct_q1,ws_1pct_q2,ws_1pct_q3,ws_1pct_max,ws_1pct_skewness,ws_10pct_min,ws_10pct_q1,ws_10pct_q2,ws_10pct_q3,ws_10pct_max,ws_10pct_skewness,zipf_alpha,cardinality,miss_req_sieve_1pct,miss_req_sieve_10pct,miss_req_sieve_25pct,miss_req_sieve_50pct,miss_req_wtinylfu_1pct,miss_req_wtinylfu_10pct,miss_req_wtinylfu_25pct,miss_req_wtinylfu_50pct,miss_req_lirs_1pct,miss_req_lirs_10pct,miss_req_lirs_25pct,miss_req_lirs_50pct,miss_req_arc_1pct,miss_req_arc_10pct,miss_req_arc_25pct,miss_req_arc_50pct,miss_req_slru_1pct,miss_req_slru_10pct,miss_req_slru_25pct,miss_req_slru_50pct,miss_req_random_1pct,miss_req_random_10pct,miss_req_random_25pct,miss_req_random_50pct
meta_cdn_rprn,shuffled,1.0,25.0,6392.0,37570.0,519631.0,3.0931205803989408,397.0,443.0,450.0,457.0,482.0,-0.4689614615512566,3884.0,4214.0,4261.0,4315.0,4397.0,-1.4795149894388633,32348.0,36473.0,36687.0,37453.0,38633.0,-2.0847617000337637,2.3721383047172684,522669.0,0.7874,0.655,0.5908,0.5364,0.6129,0.5733,0.5453,0.5305,0.617,0.5815,0.5416,0.529,0.8002,0.631,0.5859,0.5369,0.7499,0.603,0.5575,0.5361,0.8183,0.6754,0.5947,0.5473
meta_storage_1,normal,1.0,1.0,79.0,1006.0,457939.0,9.191935539536233,213.0,283.0,293.0,305.0,466.0,2.0497455431557516,2307.0,2523.0,2566.0,2646.0,4469.0,2.216470066514734,22342.0,23121.0,23900.0,24269.0,32410.0,2.1615809327443465,2.0416664726191884,452514.0,0.5747,0.5222,0.4751,0.4695,0.6661,0.535,0.5183,0.5009,0.6039,0.5217,0.5109,0.4976,0.6705,0.5997,0.5455,0.4695,0.5679,0.5043,0.4778,0.4683,0.5797,0.5038,0.4846,0.4739
meta_storage_1,shuffled,1.0,17637.0,44853.0,87084.0,450062.0,1.0656478661730613,454.0,464.0,465.0,466.0,466.0,-1.3678802008353501,4387.0,4554.0,4562.0,4570.0,4605.0,-2.1556927231268417,32130.0,40561.0,40646.0,40701.0,43059.0,-2.6221892702982323,2.0416664726191884,452514.0,0.9554,0.7851,0.6026,0.4791,0.8961,0.7105,0.6107,0.5345,0.8667,0.6441,0.5682,0.5318,0.9242,0.6958,0.5987,0.4799,0.9069,0.6893,0.5646,0.4901,0.9525,0.7468,0.5975,0.5101
meta_storage_2,normal,1.0,1.0,94.0,649.0,497409.0,6.460880294694698,233.0,317.0,328.0,340.0,499.0,1.9708831610568385,2627.0,2824.0,2876.0,2962.0,4706.0,2.189179445327688,25819.0,26533.0,26994.0,27759.0,35685.0,2.151977386829692,2.2903942863511606,502255.0,0.6055,0.5292,0.5164,0.5085,0.6708,0.5655,0.5496,0.5287,0.6389,0.5519,0.5418,0.5275,0.7039,0.6381,0.5716,0.5085,0.5834,0.5386,0.5189,0.506,0.6007,0.54,0.5236,0.5102
meta_storage_2,shuffled,1.0,16235.5,45545.0,93327.5,498502.0,1.6212398184630947,476.0,495.0,497.0,499.0,501.0,-1.5216596248455032,4602.0,4827.0,4845.0,4862.0,4901.0,-1.9944411645978755,35434.0,43281.0,43405.0,43523.0,45793.0,-2.6387270227704014,2.2903942863511606,502255.0,0.9335,0.7414,0.5958,0.513,0.88,0.703,0.6299,0.5627,0.8367,0.6579,0.6031,0.565,0.9081,0.7148,0.6218,0.5131,0.8847,0.6806,0.5909,0.5274,0.9395,0.7526,0.6205,0.5435
meta_storage_3,normal,1.0,1.0,54.0,278.0,498411.0,7.949692112162064,217.0,305.0,317.0,330.0,502.0,1.9717144052324305,2550.0,2736.0,2796.0,2885.0,4752.0,2.193135614707009,25374.0,26092.0,26546.0,27296.0,35416.0,2.1593755110092188,2.0480595441449303,512977.0,0.5799,0.5336,0.5155,0.5059,0.6487,0.5505,0.5379,0.5232,0.6092,0.5407,0.531,0.5225,0.6718,0.6105,0.5468,0.5059,0.5707,0.5305,0.5153,0.5066,0.586,0.5347,0.521,0.5104
meta_storage_3,shuffled,1.0,15711.5,43758.0,88693.5,500737.0,1.6689812561910444,483.0,496.0,498.0,499.0,502.0,-0.7739882554362466,4665.0,4831.0,4850.0,4872.0,4914.0,-1.681518433981568,35054.0,43210.0,43331.0,43624.0,45903.0,-2.623141552219082,2.0480595441449303,512977.0,0.9326,0.7158,0.5722,0.51,0.8803,0.6833,0.6136,0.5607,0.8346,0.6412,0.5902,0.558,0.9037,0.691,0.5963,0.51,0.8829,0.6647,0.5774,0.5244,0.9365,0.7456,0.6153,0.5422
meta_storage_4,normal,1.0,1.0,97.0,1544.0,508803.0,9.06387403734299,269.0,332.0,343.0,356.0,512.0,2.0104247219432905,2867.0,2998.0,3056.0,3130.0,4936.0,2.2113978416166917,26941.0,27981.0,28536.0,29061.0,36543.0,2.0826296985949484,2.161191737290975,519687.0,0.6272,0.5363,0.5216,0.5132,0.6993,0.5803,0.5718,0.5443,0.6435,0.5663,0.5569,0.5409,0.7101,0.6344,0.5741,0.5132,0.6074,0.5493,0.5256,0.5132,0.6225,0.5494,0.5297,0.5188
meta_storage_4,shuffled,1.0,18890.5,47365.0,93125.0,507114.0,1.451818092567906,501.0,510.0,511.0,512.0,512.0,-1.237552529035509,4846.0,5020.0,5028.0,5036.0,5068.0,-2.1787754527654455,36312.0,44915.0,44989.0,45058.0,47564.0,-2.650249995055996,2.161191737290975,519687.0,0.9575,0.7695,0.6044,0.5207,0.8962,0.7294,0.6398,0.5742,0.8644,0.667,0.6086,0.574,0.9268,0.7211,0.6248,0.5207,0.9095,0.7005,0.599,0.5348,0.9565,0.766,0.6304,0.5522
meta_storage_5,normal,1.0,1.0,71.0,654.0,497165.0,7.506726920133891,211.0,323.0,334.0,348.0,513.0,1.9641876244540772,2722.0,2914.0,2979.0,3081.0,4897.0,2.179747308599719,26426.0,27609.0,28357.0,28897.0,35837.0,2.034173535671003,2.216015624999998,537837.0,0.6109,0.557,0.5241,0.5157,0.679,0.5708,0.5585,0.5414,0.6257,0.5576,0.5491,0.5384,0.6919,0.6253,0.562,0.5157,0.5934,0.5462,0.527,0.5166,0.6085,0.5477,0.5313,0.5208
meta_storage_5,shuffled,1.0,15664.5,43441.0,89330.0,502872.0,1.6297280798181695,500.0,509.0,511.0,512.0,513.0,-0.9586415669591871,4776.0,4968.0,4982.0,4993.0,5049.0,-2.008044240231729,35531.0,44327.0,44387.0,44443.0,46968.0,-2.6441624810617803,2.216015624999998,537837.0,0.9353,0.7335,0.5871,0.5199,0.8782,0.7133,0.6333,0.5833,0.8411,0.655,0.6061,0.578,0.9068,0.7045,0.6119,0.5199,0.8898,0.6842,0.5925,0.5384,0.9425,0.7524,0.6266,0.5532
tencent_block_1360,normal,1.0,215094.0,242416.0,267578.0,502196.0,0.00020798528935472556,427.0,502.0,502.0,502.0,502.0,-14.723778660242104,4772.0,5026.0,5028.0,5028.0,5028.0,-7.526049418309641,49549.0,50039.0,50128.0,50224.0,50285.0,-0.8142566019950939,2.070263293734293,499651.0,0.9988,0.9915,0.9526,0.9257,0.9889,0.9153,0.8342,0.6383,0.989,0.8974,0.7986,0.6373,0.9988,0.9909,0.952,0.8312,0.9909,0.9256,0.8546,0.7128,0.999,0.9854,0.9152,0.7445
tencent_block_1360,shuffled,1.0,107437.0,201118.0,297236.0,502562.0,0.18322115189974705,499.0,502.0,502.0,502.0,502.0,-2.596040838534633,4992.0,5009.0,5013.0,5017.0,5028.0,0.20472713602532905,48090.0,48710.0,48900.0,48971.0,49901.0,1.512338135551608,2.070263293734293,499651.0,0.9928,0.938,0.8454,0.6795,0.9898,0.919,0.8121,0.6547,0.9906,0.9288,0.8475,0.6593,0.9927,0.9383,0.8505,0.6773,0.9901,0.9189,0.8235,0.6932,0.9952,0.9498,0.8594,0.7039
wiki_2019t,normal,1.0,8551.0,39977.0,117323.0,518257.0,1.6339555759926767,412.0,503.0,507.0,510.0,519.0,-2.427120302251923,4690.0,4842.0,4863.0,4886.0,5006.0,0.32634327382089034,42255.0,42468.0,42702.0,42899.0,43602.0,0.8136672793046198,2.500561523437499,525626.0,0.8874,0.725,0.6194,0.5541,0.8823,0.7187,0.6479,0.5695,0.8905,0.7214,0.6243,0.5629,0.8877,0.7169,0.6148,0.5535,0.8909,0.7244,0.6266,0.5592,0.9247,0.7784,0.6763,0.5848
wiki_2019t,shuffled,1.0,13850.0,50803.0,129227.0,517728.0,1.534365001187309,496.0,511.0,513.0,515.0,519.0,-0.4354799523107327,4918.0,4959.0,4969.0,4980.0,5029.0,0.03541273245375503,43242.0,43961.0,44070.0,44369.0,44538.0,-0.9268877952815675,2.500561523437499,525626.0,0.9002,0.7357,0.6311,0.5555,0.8902,0.7294,0.6553,0.5729,0.8939,0.7275,0.629,0.5664,0.8959,0.7223,0.6267,0.5549,0.9061,0.7437,0.6399,0.5635,0.946,0.8025,0.6898,0.5887
